id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
737,addkay tablet pr,,,,,,"Injection site reactions (pain, swelling, redness)",Diarrhea,Nausea
738,aggribloc 5mg infusion,Aggrilek Infusion,Terofib 5mg Infusion,Tirofuse Injection,Agrifib 5mg Infusion,Tiroban 5mg Infusion,Headache,Nausea,Hematoma
739,acotibien 100mg tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Acogut Tablet,Headache,Diarrhea,
740,althrocin 100mg drop,,,,,,Nausea,Vomiting,Abdominal pain
741,ambrodil-s plus syrup,Bro-Zedex  Syrup,,,,,Taste change,Nausea,Oral hypoesthesia
742,alsita-m 100 forte tablet er,Sitawok M XR 1000 Tablet,Macsita-MXR 100/1000 Tablet,SitaOD MSR 100/1000 Tablet,Istamet XR Tablet,Sitared XR Tablet,Hypoglycemia (low blood glucose level),Nausea,Vomiting
743,amoxil 250mg capsule,Amoxipen 250mg Capsule,Hipen A 250mg Capsule,Moxipal 250mg Capsule,Mokcan 250mg Capsule,Moxikem 250mg Capsule,Rash,Vomiting,Allergic reaction
744,amnurite beta 10/40 er tablet,Triptorain-PR Tablet ER,,,,,Sedation,Weight gain,Fatigue
745,asklerol 3% injection,Troydoca 30mg Injection,,,,,Injection site pain,Pain in extremities,Thrombophlebitis
746,altonil 10 tablet,Delatonin Tablet,Cirkedian Tablet,Restfine 10mg Tablet,Lamrest 10 Tablet,Noctoryl 10mg Tablet,Headache,Drowsiness,
747,atorlip gold 10 capsule,Clavix Gold 10 Capsule,Lipicure Gold 10 Capsule,Atormac Gold 10 Capsule,Atonita Gold 75mg/10mg/75mg Capsule,Clopitab-CV Gold 10 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
748,anti druf lotion,Ketostar Anti Dandruff Lotion,AF-K Lotion,Konaz ZP Lotion,Nuforce Anti Dandruff Lotion,Dencross Scalp Lotion,"Application site reactions (burning, irritation, itching and redness)",,
749,aceloflam plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
750,altonil plus 10 tablet,,,,,,Headache,Common cold,Back pain
751,actemra 400 mg injection,,,,,,Headache,High blood pressure,Upper respiratory tract infection
752,ampilox cv 500 mg/125 mg tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
753,alconol 500mg tablet,DavaIndia Disulfiram 500mg Tablet,Cronodol 500mg Tablet,Disfit 500 Tablet,Dizone 500mg Tablet,Gigadif 500mg Tablet,Headache,Fatigue,Drowsiness
754,atchol cv capsule,Lipikind CV 10mg/75mg Capsule,Starclop-AV 10 Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
755,atormac gold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
756,allegra 120mg tablet,Lcfex Tablet,Etofex 120mg Tablet,F Din 120mg Tablet,Nexofex 120mg Tablet,Fexise 120mg Tablet,Headache,Drowsiness,Dizziness
757,acepar 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
758,ampanel 4 tablet,Perampil 4mg Tablet,Hetram 4mg Tablet,Percompa 4mg Tablet,Addperam 4mg Tablet,Perampa 4mg Tablet,Dizziness,Sleepiness,Fatigue
759,albutamol syrup,Asthacure Plus Syrup,Ventidil B S Syrup,,,,Nausea,Vomiting,Bloating
760,aztor ez tablet,Orvas-EZ Tablet,Aova-EZ 10mg/10mg Tablet,Zuvas E 10mg/10mg Tablet,Jvastor-EZ 10mg/10mg Tablet,Atba EZ 10mg/10mg Tablet,Nausea,Muscle pain,Increased transaminase level in blood
761,alfakit tablet,Renoalfa Tablet,Nefrosave Keto Tablet,Ketodel Tablet,Ketomega Tablet,Henalog Tablet,No common side effects seen,,
762,atocor 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
763,amitryn 25 tablet,Amidep 25mg Tablet,Amitril 25mg Tablet,Amitar 25mg Tablet,Latilin 25mg Tablet,Amiford 25mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
764,atormac cv 20 capsule,Atorec CV 20 Capsule,Avas CV 20 Capsule,Astin CV 20 Capsule,Atorsave CV 20 Capsule,Statiga CV 20mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
765,amrofast cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation
766,arbitel-mt 25 tablet er,Telmikaa MT 25 Tablet ER,Telvas Beta 25 Tablet ER,Telmikind Beta 40mg/25mg Tablet ER,Macsart Beta 25 Tablet ER,Telmed Beta 25 Tablet ER,Headache,Weakness,Dizziness
767,azithral-xl 100 liquid,Infurox 100mg Oral Suspension,Ibithral 100 Rediuse Oral Suspension,Zithro Oral Suspension,Azilide 100 RediMed Oral Suspension,Azikem 100mg/5ml Oral Suspension,Vomiting,Nausea,Abdominal pain
768,azi 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
769,alphadopa tablet,Emdopa 250mg Tablet,Aldopam 250mg Tablet,AM Dopa 250mg Tablet,GYNAPRES 250MG TABLET,Dopah 250 Tablet,Dizziness,Fatigue,Dryness in mouth
770,abz 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes
771,allerkast lc tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth
772,amlodac t 40 mg/5 mg tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Amlopres TL Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache
773,ascodex dx syrup,Vistadex Syrup,Ascodex Cough Syrup,Aldrex Syrup,Imcuf DMR Syrup,Fencough Syrup,Nausea,Indigestion,Bloating
774,aerodil-ls expectorant,Usal LS Expectorant,Sulung PD Expectorant,Tuspel LS Expectorant,Bro-Zedex  LS 0.5 Expectorant Raspberry,Macbery Junior  Expectorant,Nausea,Vomiting,Diarrhea
775,absolut dm capsule,Myelogen Forte Capsule,,,,,Limited data available,,
776,azikind 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
777,avoprost d 8mg/0.5mg capsule,Prostagard-D8 Capsule,Sildonix-D Capsule,Seeflow-D Capsule,Silocare D 8 Capsule,Silocap-D Capsule,Ejaculation disorder,Impotence,Headache
778,arbitel-av tablet,StayHappi Telmisartan+Atorvastatin 40mg/10mg Tablet,Tesarto-A 40mg/10mg Tablet,Lipisar 40 mg/10 mg Tablet,Telbax ST 40mg/10mg Tablet,STALIA A  TABLET 40 MG/10 MG,Nausea,Stomach pain,Constipation
779,amlopres-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
780,atorlip 80 tablet,Atorsave 80 Tablet,Jubicad 80mg Tablet,Statix 80mg Tablet,Dispitor 80mg Tablet,Modlip 80mg Tablet,Dyspepsia,Abdominal pain,Indigestion
781,aquasurge  max eye drop,Lubrifresh Gel Eye Drop,Misty Gel,Lubrifresh Gel,Ultra Gel Eye Drop,Just Tears Liquigel,Eye irritation,Burning eyes,Eye discomfort
782,androgel,Androfil Gel,Testoheal Gel,Androtas Gel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change
783,atocor-cv 10 capsule,Lipikind CV 10mg/75mg Capsule,Atorniz-C Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Stomach pain,Diarrhea,Indigestion
784,amnuring 5 tablet sr,Triptorain-MC 5 Tablet SR,,,,,Constipation,Difficulty in urination,Weight gain
785,aldactone t 10 tablet,Vitator SP Tablet,Torsid Plus 10/50 Tablet,Torspec Plus 50mg/10mg Tablet,Jbtor Plus 50mg/10mg Tablet,Pretor Plus 50mg/10mg Tablet,Dizziness,Frequent urge to urinate,Headache
786,ascodex plus syrup,Viscosin Syrup,Bromodyne Syrup,Amohist Syrup,,,Nausea,Diarrhea,Bloating
787,addkay tablet pr,,,,,,"Injection site reactions (pain, swelling, redness)",Diarrhea,Nausea
788,aggribloc 5mg infusion,Aggrilek Infusion,Terofib 5mg Infusion,Tirofuse Injection,Agrifib 5mg Infusion,Tiroban 5mg Infusion,Headache,Nausea,Hematoma
789,acotibien 100mg tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Acogut Tablet,Headache,Diarrhea,
790,althrocin 100mg drop,,,,,,Nausea,Vomiting,Abdominal pain
791,ambrodil-s plus syrup,Bro-Zedex  Syrup,,,,,Taste change,Nausea,Oral hypoesthesia
792,alsita-m 100 forte tablet er,Sitawok M XR 1000 Tablet,Macsita-MXR 100/1000 Tablet,SitaOD MSR 100/1000 Tablet,Istamet XR Tablet,Sitared XR Tablet,Hypoglycemia (low blood glucose level),Nausea,Vomiting
793,amoxil 250mg capsule,Amoxipen 250mg Capsule,Hipen A 250mg Capsule,Moxipal 250mg Capsule,Mokcan 250mg Capsule,Moxikem 250mg Capsule,Rash,Vomiting,Allergic reaction
794,amicet plus tablet,Esartan AP Tablet,Lecope-AD Tablet,Kylazine AP 60mg/5mg/5mg Tablet,,,Vomiting,Dryness in mouth,Headache
795,azitus 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
796,atorlip-asp 20 capsule,Atorise Asp 20mg/75mg Capsule,DavaIndia Atorvastatin+Aspirin 20mg/75mg Capsule,Biotor Asp 20mg/75mg Capsule,Atorvatin AP 20/75 Capsule,Lipvas ASP 20 Capsule,Abdominal pain,Constipation,Flatulence
797,allegra 30mg tablet,Altiva 30mg Tablet,Ultigra 30mg Tablet,Delpodine 30mg Tablet,Fex 30mg Tablet,Fexomax 30mg Tablet,Headache,Drowsiness,Dizziness
798,acutrol c 400 tablet,Phoscut 400 Tablet,Revlamer 400 Tablet,Forsemer 400mg Tablet,Selaglob 400mg Tablet,Acutrol 400 Tablet,Nausea,Vomiting,Upper abdominal pain
799,ace proxyvon th 4 tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Anaflam TH  4  Tablet,Thio-Seradic Tablet,Nausea,Vomiting,Heartburn
800,almefkem-d tablet,Tavera M Tablet,Drofem Tablet,Namspas Dr Tablet,Verispas MF 80 mg/250 mg Tablet,Egadro MF 80mg/250mg Tablet,Nausea,Vomiting,Diarrhea
801,anfoe 4000iu injection,Erypro 4000IU Injection,Relipoietin 4000IU Injection,Vintor 4000 Injection,Eporise 4000 Injection,Repoitin 4000 Injection,High blood pressure,Nausea,Vomiting
802,auxerg cream,,,,,,Dry skin,Burning sensation,Skin irritation
803,ata tablet,Drownil 20mg Tablet,Bilacalm Tablet,Bilachek Tablet,Bilambic 20mg Tablet,Bilacad Tablet,Headache,Drowsiness,
804,amisant 200 tablet,Cgsulpride 200mg Tablet,Zopride 200mg Tablet,Sulvol 200mg Tablet,Zulpride 200mg Tablet,Amicest 200mg Tablet,Nausea,Vomiting,Dryness in mouth
805,allercet-l tablet,L Dio 1 Tablet,Lecope Tablet,LCZ Tablet,1-AL Tablet,L Hist Tablet,Sleepiness,Fatigue,Dryness in mouth
806,andre plus eye drops,New I-Kul Plus Ophthalmic Solution,New I-Kul Plus Ophthalmic Solution,Zeecool Plus Eye Drops,,,Eye irritation,Burning eyes,Stinging in the eyes
807,arbitel 20 tablet,Macsart 20 Tablet,Telmikind 20 Tablet,Inditel 20 Tablet,Telma 20 Tablet,Telma 20 Tablet,Upper respiratory tract infection,Sinus infection,Back pain
808,acrotac 10mg capsule,A Tret 10mg Capsule,Acitros 10mg Capsule,Acipsor 10mg Capsule,Acitrin 10mg Capsule,Zoratame 10mg Capsule,Dryness in mouth,Skin peeling,Itching
809,ara eye gel,Eyemist Gel,Genteal Gel,,,,Blurred vision,Eye irritation,Eye pain
810,aginal 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
811,amtas 2.5 tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea
812,aricep 10 tablet,Nepzil 10mg Tablet,Bonzil 10mg Tablet,Dnp 10mg Tablet,Alzepil 10mg Tablet,Donzil 10mg Tablet,Nausea,Diarrhea,Insomnia (difficulty in sleeping)
813,ad 10mg sachet,Hydral 10mg Sachet,Racy 10mg Sachet,Lomorest 10mg Sachet,Zomatril 10 Sachet,Dotril 10mg Sachet,Skin rash,Vomiting,Dizziness
814,a ret hc cream,Acnon HQ Cream,Tretcee HQ Cream,Melzorg Cream,Melalite Plus Cream,,Thinning of skin,Dry skin,"Application site reactions (burning, irritation, itching and redness)"
815,astin cv 10 capsule,Lipikind CV 10mg/75mg Capsule,Starclop-AV 10 Capsule,Atchol CV Capsule,Avas CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
816,amodep 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
817,arifine 2.5 tablet,Aripel 2.5mg Tablet,Aricalm 2.5mg Tablet,Ariday 2.5 Tablet,,,Akathisia (inability to stay still),Anxiety,Blurred vision
818,azithral 250mg dt tablet,3A 250mg Tablet DT,Elzee 250mg Tablet DT,Azilide 250mg Tablet DT,Azix 250mg Tablet DT,Azbact 250mg Tablet DT,Vomiting,Nausea,Abdominal pain
819,apilysin syrup,Apeton Plus Syrup,Appegain Syrup,Episure Syrup,Appcyp Syrup,Cpol Syrup,Constipation,Dryness in mouth,Drowsiness
820,acetik-hc ear drop,,,,,,"Application site reactions (burning, irritation, itching and redness)",,
821,aricep-m  tablet,DavaIndia Donepezil+Memantine 5mg/5mg Tablet,Denjil-Plus Tablet,Depzil Plus 5mg/5mg Tablet,Larentine D 5mg/5mg Tablet,Talimem 5 Tablet,Nausea,Vomiting,Loss of appetite
822,airtec fb 200 instacap,,,,,,Tremors,Dryness in mouth,Palpitations
823,amoxy 250mg capsule,Amoxipen 250mg Capsule,Hipen A 250mg Capsule,Moxipal 250mg Capsule,Amoxil 250mg Capsule,Moxikem 250mg Capsule,Rash,Vomiting,Allergic reaction
824,alorti tablet,Alastin 10mg Tablet,Lorhine 10mg Tablet,Claridin Tablet,Loritoz 10mg Tablet,Lorshine 10mg Tablet,Sleepiness,Headache,
825,app.up plus syrup,Aptitrust Syrup,,,,,Constipation,Dryness in mouth,Drowsiness
826,atormac tg tablet,Ozovas-F  Tablet,Orvas-FT Tablet,Lipikind-F Tablet,Zivast-F Tablet,Atchol-F Tablet,Nausea,Stomach pain,Constipation
827,afoglip m  1000 tablet er,Glipijub M Forte Tablet ER,Tenali M 1000mg/20mg Tablet ER,Tenligon-M 1000 Tablet ER,Tenlivas M 1000mg/20mg Tablet ER,Glipon MF Forte Tablet ER,Hypoglycemia (low blood glucose level),Nausea,Vomiting
828,ambistryn-s 1gm injection,MERSTREP 1GM INJECTION,Streptomac 1gm Injection,,,,Skin rash,Vomiting,Fever
829,anti cold syrup,Wentcold Syrup,Pcan-P Syrup,Finecold Plus Syrup,Activent Kid Syrup,Histadol Syrup,Diarrhea,Rash,Nausea
830,anxipam 0.5mg tablet md,Lozep 0.5mg Tablet MD,Clodep 0.5mg Tablet MD,Prozepton 0.5mg Tablet MD,Clonapax 0.5mg Tablet MD,Clonam-IR 0.5 Tablet MD,Depression,Dizziness,Drowsiness
831,abmac tablet,Levotrack AM 200mg/5mg/10mg Tablet,DE Allergi AB 200mg/5mg/10mg Tablet,Adnofast DL 200mg/5mg/10mg Tablet,Bigphylin Plus 200mg/5mg/10mg Tablet,Con DL 200mg/5mg/10mg Tablet,Nausea,Vomiting,Stomach pain
832,alkof syrup orange,Nanokof Syrup,Chupp LS Syrup,Lecof Junior Syrup,Agikuff Syrup,Libitus Plus Syrup,Nausea,Diarrhea,Bloating
833,anin tablet,Dubnil 5mg Tablet,Fetugard 5mg Tablet,Pregular 5mg Tablet,Prolin A 5mg Tablet,Lutanin 5mg Tablet,Edema (swelling),Bloating,Depression
834,acnedap plus gel,Dapsib Gel,Acnewar Plus Gel,,,,Skin irritation,Itching,Burning sensation at the site of application
835,apresol plus tablet,Sorbitrate HF Tablet,Nitrohart Tablet,Muzika 20mg/37.5mg Tablet,Isorus Tablet,Isolazine Tablet,Headache,Dizziness,
836,azulix mv 2mg/500mg/0.3mg tablet sr,Vogliboz-GM3 Tablet SR,Vogs-GM 2/0.3 Tablet SR,Voglinorm GM 2/0.3 Tablet SR,T-Vobit VX2 Tablet SR,Zoryl MV 2/0.3 Tablet SR,Nausea,Diarrhea,Abdominal pain
837,ace-proxyvon sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain
838,angistat 2.5 capsule tr,Angiplat 2.5 Capsule TR,Vasovin - XL 2.5 Capsule,Angispan - TR 2.5mg Capsule,,,Blurred vision,Decreased blood pressure,Dizziness
839,anafortan n 100 mg/50 mg tablet,Sumo Spas 100mg/50mg Tablet,Camifort N Tablet,,,,Nausea,Vomiting,Constipation
840,atorlip cv capsule,Lipikind CV 10mg/75mg Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
841,anozest cream,Nifedip LA  Cream,Anomed L Cream,Anobliss Cream,Anorelief Cream,Escot Cream,Anal irritation,,
842,amoxil 250mg tablet dt,Mokcan 250mg Tablet DT,Amurol 250mg Tablet DT,Lupimox 250mg Tablet DT,Moxipil 250mg Tablet DT,Pressmox 250mg Tablet DT,Rash,Vomiting,Allergic reaction
843,acemiz 100mg tablet,Topnac 100mg Tablet,Topflam 100mg Tablet,Acicloflex 100mg Tablet,Acenal 100mg Tablet,Safronac 100mg Tablet,Vomiting,Stomach pain/epigastric pain,Nausea
844,alrista plus tablet sr,Epineuron SR Tablet,Epalpex-M SR Tablet,Epalrica-M Tablet SR,Aldonil Plus Tablet SR,Nurestat-Plus Tablet SR,Nausea,Vomiting,Increased liver enzymes
845,ascapil 12a tablet dt,,,,,,Nausea,Vomiting,Diarrhea
846,addex 500mg ointment,Codol Ointment,Codol Ointment,Cadress Ointment,Idoxine Ointment,,Pain,Swelling,
847,acetik ear drop,Otocil 2% Ear Drop,Otocil 2% Ear Drop,,,,Burning sensation,Irritation,Local reaction
848,aisa  tablet,Ageless Tablet,,,,,Nausea,Vomiting,
849,acolate p plus tablet,Levlar Tablet,Apicold AL Tablet,Medilocold Tablet,Alerzilevo Cold Tablet,Lecet-AP Tablet,Nausea,Vomiting,Dryness in mouth
850,airz-f digihaler,Forglyn CFC Free Inhaler,,,,,Indigestion,High blood pressure,Nasopharyngitis (inflammation of the throat and nasal passages)
851,anleo-dsr capsule,Linpan-D Capsule PR,Padup Capsule PR,Pantadom-SR Capsule,Pantakind-DSR Capsule,Pantosec D SR Capsule,Diarrhea,Stomach pain,Flatulence
852,aladrine 2.5mg tablet,Jolavi Tablet,Midgeo Tablet,Actiful 2.5mg Tablet,Midotab 2.5 Tablet,Midrex 2.5mg Tablet,Headache,Nausea,Rash
853,azarga eye drop,,,,,,Itching,Irritation,Stinging sensation
854,amlopres 10 tablet,Aginal 10mg Tablet,Amodep 10mg Tablet,Lupidip 10mg Tablet,Amlokind 10mg Tablet,Amcard 10 Tablet,Headache,Fatigue,Nausea
855,anti-thyrox 5 tablet,Carmazole 5mg Tablet,Thyrodip 5mg Tablet,Thyrozole 5mg Tablet,Neo-Mercazole 5 Tablet,Carkozom 5 Tablet,Nausea,Headache,Joint pain
856,anthocyn-tx cream,M-Laz Cream,Depiluk Cream,Nucell-TX Cream,Glu-Cell Cream,Xinfine Cream,Dry skin,Skin rash,
857,anomed l cream,Nifedip LA  Cream,Anozest Cream,Anobliss Cream,Anorelief Cream,Escot Cream,Anal irritation,,
858,ampoxin-cv 500mg/125mg tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
859,azilide 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
860,app up syrup,Trisotis Plus Syrup,Anzicyp Syrup,Mecyp Syrup,Cytadine-TS Syrup,Pneucyprodin T Syrup,Constipation,Dryness in mouth,Drowsiness
861,apraize 10 tablet,Apxenta 10 Tablet,Apxenta 10 Tablet,Aprezo 10 Tablet,,,Diarrhea,Nausea,Vomiting
862,alkasol oral solution sugar free,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea
863,abirapro 250mg tablet,Zelgor 250mg Tablet,Abitate 250mg Tablet,Xbira 250mg Tablet,Zecyte 250mg Tablet,Abura Tablet,Edema (swelling),Vomiting,Decreased potassium level in blood
864,acolate kid syrup mango,Indikof P Syrup,Akuminic P Syrup,Cufmol Plus Syrup,Colprex Syrup Strawberry,Tricold Plus Syrup,Diarrhea,Rash,Nausea
865,androtas gel,Androfil Gel,Testoheal Gel,Androgel,Cernos Gel,Androrise Gel,"Injection site reactions (pain, swelling, redness)",Acne,Voice change
866,atorec-asp capsule,Liponorm-Asp Capsule,Zivast ASP 10 Capsule,Atchol-ASP Capsule,Lipicure-AS 75 Capsule,Atorlip-ASP 10 Capsule,Abdominal pain,Constipation,Flatulence
867,aziwok 100 liquid,Infurox 100mg Oral Suspension,Ibithral 100 Rediuse Oral Suspension,Azilide 100 RediMed Oral Suspension,Azikem 100mg/5ml Oral Suspension,Pratham 100 Rediuse Oral Suspension,Vomiting,Nausea,Abdominal pain
868,amitryn-c tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain
869,azee 1000 tablet,Aziagio 1000mg Tablet,Bactrocin 1000mg Tablet,Laz 1000mg Tablet,Azysafe 1000mg Tablet,Orizee 1000mg Tablet,Vomiting,Nausea,Abdominal pain
870,adefresh 400 tablet,Poinmeth 400mg Tablet,SAMPURE 400MG TABLET,INTASAM 400 MG TABLET,Livopam 400 Tablet,Adenomax 400mg Tablet,Nausea,Diarrhea,Upset stomach
871,abphylin 100mg capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Oxybro 100 Capsule,Nausea,Headache,Vomiting
872,adriamycin 50mg injection,Metodox 50mg Injection,Doxorex 50mg Injection,Doxilyd 50mg Injection,Adronex RD 50mg Injection,Doxotero 50mg Injection,Vomiting,Allergic reaction,Nausea
873,azulix mv 2/0.2 tablet sr,Starvog GM 2 Tablet SR,Metsmall GV 2 Tablet SR,Voglibite-GM 2 Tablet SR,Glyciphage-VG2 Tablet SR,Amaryl MV 2mg Tablet SR,Nausea,Diarrhea,Abdominal pain
874,absolut dm capsule,Myelogen Forte Capsule,,,,,Limited data available,,
875,ambrodil-xp capsule,Broncofil 100mg Capsule,Axeldox 100 Capsule,Oxybro 100 Capsule,Abby 100mg Capsule,Bromucas 100 Capsule,Nausea,Headache,Vomiting
876,augxetil 500mg tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction
877,adiff gel,Alene Gel,Difra Gel,Adaple 0.1% Gel,Acfree Gel,Vandep 0.1% Gel,Erythema (skin redness),Dry skin,Skin peeling
878,augplat 250mcg injection,Romiset Injection,Romy Injection,,,,Headache,Joint pain,Dizziness
879,actiheal-d tablet,Myoheal D Tablet,Edinase-D  Tablet,Seradic-Plus Tablet,Umanoflam-D Tablet,Coevitenz  -D Tablet,Nausea,Vomiting,Heartburn
880,adilip 45 tablet dr,,,,,,Increased liver enzymes,Nausea,Vomiting
881,adalipca 40mg injection,Cipleumab 40mg Injection,Plamumab 40mg Injection,Adalirel 40mg Injection,Adalimac 40mg Injection,Envira 40mg Injection,Headache,Sinus inflammation,Rash
882,alfa gpc tablet,,,,,,No common side effects seen,,
883,atracurium besilate injection,,,,,,Itching,Skin rash,Erythema (skin redness)
884,ambropil br syrup,,,,,,Headache,Dryness in mouth,Upset stomach
885,andriol 40mg testocap,Testoki 40mg Capsule,Nuvir 40mg Capsule,Andriol 40mg Capsule,Testonova 40mg Capsule,Androsar 40mg Capsule,Diarrhea,Stomach discomfort,Increased sweating
886,analgin 500mg tablet,Bral 500mg Tablet,,,,,Vomiting,Stomach pain,Nausea
887,asprito 5 tablet,Aritab 5mg Tablet,Arip 5mg Tablet,Aripiren 5mg Tablet,Ripramat 5 Tablet,Nulet 5 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
888,accuzon 1g injection,Riax 1000mg Injection,Axitrix 1000mg Injection,Texar 1000mg Injection,Arazex Injection,Avezone 1000mg Injection,Diarrhea,Abnormal liver function tests,Rash
889,atrest 25 tablet,Ticfree Tablet,Ticrest 25 Tablet,Ticstop Tablet,Revocon Tablet,,Nausea,Insomnia (difficulty in sleeping),Anxiety
890,amlodac m tablet pr,Gudpres-AM 50 Tablet PR,Protol-AM Tablet PR,Amlopin-M Tablet PR,Amlovas XM  5/50 Tablet PR,Prolomet AM 50 Tablet PR,Nausea,Slow heart rate,Abdominal pain
891,amicin 500mg injection,Megamika 500mg Injection,Amilab 500mg Injection,Acil 500mg Injection,Emica 500mg Injection,Mika Best 500mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",
892,atocor gold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
893,adilip 45 tablet dr,,,,,,Increased liver enzymes,Nausea,Vomiting
894,analgin 500mg tablet,Bral 500mg Tablet,,,,,Vomiting,Stomach pain,Nausea
895,asprito 5 tablet,Aritab 5mg Tablet,Arip 5mg Tablet,Aripiren 5mg Tablet,Ripramat 5 Tablet,Nulet 5 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
